missing_file	found_candidates_count	top_candidate_path	token	token_type
src/EliteClinic.Api/Controllers/InventoryController.cs	8	C:\Users\mohammed\AppData\Roaming\Code\User\History\5ceec1e8\F4Bg.cs	InventoryController	class_or_enum
src/EliteClinic.Api/Controllers/MarketplaceOrdersController.cs	8	C:\Users\mohammed\AppData\Roaming\Code\User\History\-130e374c\m4it.cs	MarketplaceOrdersController	class_or_enum
src/EliteClinic.Api/Controllers/PartnerOrdersController.cs	8	C:\Users\mohammed\AppData\Roaming\Code\User\History\699e2417\hqk8.cs	PartnerOrdersController	class_or_enum
src/EliteClinic.Api/Controllers/PartnersController.cs	8	C:\Users\mohammed\AppData\Roaming\Code\User\History\6b6286f5\iwMY.cs	PartnersController	class_or_enum
src/EliteClinic.Api/Controllers/ReportsController.cs	13	C:\Users\mohammed\AppData\Roaming\Code\User\History\3e298d8d\fxQI.cs	ReportsController	class_or_enum
src/EliteClinic.Api/Controllers/SelfServiceRequestsController.cs	8	C:\Users\mohammed\AppData\Roaming\Code\User\History\3e527b7\GBbQ.cs	SelfServiceRequestsController	class_or_enum
src/EliteClinic.Application/Features/Clinic/DTOs/InventoryDtos.cs	0		InventoryDtos	class_or_enum
src/EliteClinic.Application/Features/Clinic/DTOs/MarketplaceDtos.cs	0		MarketplaceDtos	class_or_enum
src/EliteClinic.Application/Features/Clinic/DTOs/SelfServiceRequestDtos.cs	0		SelfServiceRequestDtos	class_or_enum
src/EliteClinic.Application/Features/Clinic/Services/IInventoryService.cs	6	C:\Users\mohammed\AppData\Roaming\Code\User\History\-e8edb1c\rU0x.cs	IInventoryService	class_or_enum
src/EliteClinic.Application/Features/Clinic/Services/IMarketplaceService.cs	6	C:\Users\mohammed\AppData\Roaming\Code\User\History\-4a8614ad\SbNl.cs	IMarketplaceService	class_or_enum
src/EliteClinic.Application/Features/Clinic/Services/InventoryService.cs	17	C:\Users\mohammed\AppData\Roaming\Code\User\History\3662e07d\klbM.cs	InventoryService	class_or_enum
src/EliteClinic.Application/Features/Clinic/Services/MarketplaceService.cs	7	C:\Users\mohammed\AppData\Roaming\Code\User\History\-7b14db54\8kmL.cs	MarketplaceService	class_or_enum
src/EliteClinic.Application/Features/Clinic/Services/PartnerService.cs	7	C:\Users\mohammed\AppData\Roaming\Code\User\History\762cdae9\B7BB.cs	PartnerService	class_or_enum
src/EliteClinic.Application/Features/Clinic/Services/PatientSelfServiceRequestService.cs	12	C:\Users\mohammed\AppData\Roaming\Code\User\History\-496c7b34\mVXT.cs	PatientSelfServiceRequestService	class_or_enum
src/EliteClinic.Application/Features/Clinic/Services/ReportsService.cs	7	C:\Users\mohammed\AppData\Roaming\Code\User\History\4315c720\d9DJ.cs	ReportsService	class_or_enum
src/EliteClinic.Domain/Entities/Branch.cs	15	C:\Users\mohammed\AppData\Roaming\Code\User\History\-a394e31\15s7.md	Branch	class_or_enum
src/EliteClinic.Domain/Entities/ClinicPaymentMethod.cs	7	C:\Users\mohammed\AppData\Roaming\Code\User\History\598f9bd7\YT7V.cs	ClinicPaymentMethod	class_or_enum
src/EliteClinic.Domain/Entities/DoctorBranchSchedule.cs	6	C:\Users\mohammed\AppData\Roaming\Code\User\History\-2afa95d2\s6pj.cs	DoctorBranchSchedule	class_or_enum
src/EliteClinic.Domain/Entities/InventoryItem.cs	7	C:\Users\mohammed\AppData\Roaming\Code\User\History\-6a4e6039\Wrle.cs	InventoryItem	class_or_enum
src/EliteClinic.Domain/Entities/InventoryItemImage.cs	7	C:\Users\mohammed\AppData\Roaming\Code\User\History\-1c10f306\Z6XH.cs	InventoryItemImage	class_or_enum
src/EliteClinic.Domain/Entities/MarketplaceOrder.cs	7	C:\Users\mohammed\AppData\Roaming\Code\User\History\-7b9eac1d\DgxP.cs	MarketplaceOrder	class_or_enum
src/EliteClinic.Domain/Entities/MarketplaceOrderItem.cs	7	C:\Users\mohammed\AppData\Roaming\Code\User\History\-4549b6b0\tvHJ.cs	MarketplaceOrderItem	class_or_enum
src/EliteClinic.Domain/Entities/PatientSelfServiceRequest.cs	8	C:\Users\mohammed\AppData\Roaming\Code\User\History\-59a31b95\87OJ.cs	PatientSelfServiceRequest	class_or_enum
src/EliteClinic.Domain/Entities/SalesInvoice.cs	9	C:\Users\mohammed\AppData\Roaming\Code\User\History\49f1de65\UXFp.cs	SalesInvoice	class_or_enum
src/EliteClinic.Domain/Entities/SalesInvoiceLineItem.cs	7	C:\Users\mohammed\AppData\Roaming\Code\User\History\-3b6b9b42\8WSn.cs	SalesInvoiceLineItem	class_or_enum
src/EliteClinic.Domain/Entities/VisitInventoryUsage.cs	8	C:\Users\mohammed\AppData\Roaming\Code\User\History\6c1d8ce6\rSby.cs	VisitInventoryUsage	class_or_enum
src/EliteClinic.Domain/Enums/InventoryItemType.cs	6	C:\Users\mohammed\AppData\Roaming\Code\User\History\3b24f6e8\qZaM.cs	InventoryItemType	class_or_enum
src/EliteClinic.Domain/Enums/MarketplaceOrderStatus.cs	6	C:\Users\mohammed\AppData\Roaming\Code\User\History\22f89e76\VMrp.cs	MarketplaceOrderStatus	class_or_enum
src/EliteClinic.Domain/Enums/PatientSelfServicePaymentPolicy.cs	7	C:\Users\mohammed\AppData\Roaming\Code\User\History\-74d3b383\UiZw.cs	PatientSelfServicePaymentPolicy	class_or_enum
src/EliteClinic.Domain/Enums/PatientSelfServiceRequestStatus.cs	7	C:\Users\mohammed\AppData\Roaming\Code\User\History\-6a920cac\IjZl.cs	PatientSelfServiceRequestStatus	class_or_enum
src/EliteClinic.Domain/Enums/PatientSelfServiceRequestType.cs	7	C:\Users\mohammed\AppData\Roaming\Code\User\History\-503b6f4\Wp9V.cs	PatientSelfServiceRequestType	class_or_enum
src/EliteClinic.Domain/Enums/SalesInvoiceStatus.cs	6	C:\Users\mohammed\AppData\Roaming\Code\User\History\7a5759f8\qiJ0.cs	SalesInvoiceStatus	class_or_enum
src/EliteClinic.Domain/Enums/VisitSource.cs	11	C:\Users\mohammed\AppData\Roaming\Code\User\History\5f6b9e98\VPjo.ts	VisitSource	class_or_enum
src/EliteClinic.Infrastructure/Migrations/20260404183649_Phase14_Phase2SelfServiceRequestFlow.cs	32	C:\Users\mohammed\AppData\Roaming\Code\User\History\593a6659\yjhw.md	20260404183649_Phase14_Phase2SelfServiceRequestFlow	literal
src/EliteClinic.Infrastructure/Migrations/20260404192914_Phase15_Phase3InventoryMarketplaceSales.cs	22	C:\Users\mohammed\AppData\Roaming\Code\User\History\593a6659\hGck.md	20260404192914_Phase15_Phase3InventoryMarketplaceSales	literal
src/EliteClinic.Infrastructure/Migrations/20260404192914_Phase15_Phase3InventoryMarketplaceSales.Designer.cs	21	C:\Users\mohammed\AppData\Roaming\Code\User\History\593a6659\hGck.md	20260404192914_Phase15_Phase3InventoryMarketplaceSales.Designer	literal
src/EliteClinic.Infrastructure/Migrations/20260404202657_Phase16_Phase4PartnersThreadsNotifications.cs	17	C:\Users\mohammed\AppData\Roaming\Code\User\History\593a6659\go9o.md	20260404202657_Phase16_Phase4PartnersThreadsNotifications	literal
src/EliteClinic.Infrastructure/Migrations/20260404202657_Phase16_Phase4PartnersThreadsNotifications.Designer.cs	17	C:\Users\mohammed\AppData\Roaming\Code\User\History\593a6659\go9o.md	20260404202657_Phase16_Phase4PartnersThreadsNotifications.Designer	literal
tests/EliteClinic.Tests/DbContextFactory.cs	22	C:\Users\mohammed\AppData\Roaming\Code\User\History\b7b3a3f\dFJt.cs	DbContextFactory	class_or_enum
tests/EliteClinic.Tests/EliteClinic.Tests.csproj	53	C:\Users\mohammed\AppData\Roaming\Code\User\History\593a6659\Sf3u.md	EliteClinic.Tests.csproj	literal
tests/EliteClinic.Tests/FakeMessageService.cs	20	C:\Users\mohammed\AppData\Roaming\Code\User\History\74f0c0a6\YlCx.cs	FakeMessageService	class_or_enum
tests/EliteClinic.Tests/Phase2SelfServiceWorkflowTests.cs	8	C:\Users\mohammed\AppData\Roaming\Code\User\History\15f0ce48\g4UE.cs	Phase2SelfServiceWorkflowTests	class_or_enum
tests/EliteClinic.Tests/Phase3InventoryMarketplaceTests.cs	6	C:\Users\mohammed\AppData\Roaming\Code\User\History\5d65de8a\DnKp.cs	Phase3InventoryMarketplaceTests	class_or_enum
tests/EliteClinic.Tests/Phase4PartnersThreadsNotificationsTests.cs	6	C:\Users\mohammed\AppData\Roaming\Code\User\History\-49e4c53a\8lWq.cs	Phase4PartnersThreadsNotificationsTests	class_or_enum
tests/EliteClinic.Tests/SystemWideApiContractTests.cs	6	C:\Users\mohammed\AppData\Roaming\Code\User\History\23ebe781\1N4F.cs	SystemWideApiContractTests	class_or_enum
